"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
        intercept_scaling=1, l1_ratio=None, max_iter=100,
        multi_class='warn', n_jobs=None, penalty='l2',
        random_state=None, solver='warn', tol=0.001, verbose=0,
        warm_start=False)","[0.9122807017543859, 0.9385964912280702, 0.9736842105263158, 0.9736842105263158, 0.9380530973451328]"
"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
        intercept_scaling=1, l1_ratio=None, max_iter=100,
        multi_class='warn', n_jobs=None, penalty='l2',
        random_state=None, solver='warn', tol=0.0011, verbose=0,
        warm_start=False)","[0.9122807017543859, 0.9385964912280702, 0.9736842105263158, 0.9736842105263158, 0.9380530973451328]"
"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
        intercept_scaling=1, l1_ratio=None, max_iter=100,
        multi_class='warn', n_jobs=None, penalty='l2',
        random_state=None, solver='warn', tol=0.005, verbose=0,
        warm_start=False)","[0.8596491228070176, 0.9385964912280702, 0.9649122807017544, 0.9385964912280702, 0.9203539823008849]"
"LogisticRegression(C=1.0, class_weight=None, dual=False, fit_intercept=True,
        intercept_scaling=1, l1_ratio=None, max_iter=100,
        multi_class='warn', n_jobs=None, penalty='l2',
        random_state=None, solver='warn', tol=0.0055, verbose=0,
        warm_start=False)","[0.8596491228070176, 0.9385964912280702, 0.9649122807017544, 0.9385964912280702, 0.9203539823008849]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
        store_covariance=False, tol=0.001)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0, store_covariance=True,
        tol=0.001)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
        store_covariance=False, tol=0.0011)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0, store_covariance=True,
        tol=0.0011)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0,
        store_covariance=False, tol=0.005)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
"QuadraticDiscriminantAnalysis(priors=None, reg_param=0.0, store_covariance=True,
        tol=0.005)","[0.9473684210526315, 0.9649122807017544, 0.9736842105263158, 0.9649122807017544, 0.9557522123893806]"
